query_peak_id	query_chrom	query_start	query_end	target_peak_id	target_chrom	target_start	target_end	overlap_bp	query_overlap_fraction	target_overlap_fraction	reciprocal_overlap_score	reciprocal_best_hit	source_species	target_species
human_ocr_0009030	chr1	74368382	74368609	mouse_ocr_0044030	chr1	74367838	74368610	227	1.0	0.29404145077720206	0.29404145077720206	True	human	mouse
human_ocr_0022976	chr1	74803093	74803623	mouse_ocr_0006196	chr1	74802999	74803878	530	1.0	0.602957906712173	0.602957906712173	True	human	mouse
human_ocr_0032807	chr1	74808188	74808349	mouse_ocr_0025829	chr1	74808016	74808600	161	1.0	0.2756849315068493	0.2756849315068493	True	human	mouse
human_ocr_0006754	chr1	74948970	74949076	mouse_ocr_0024276	chr1	74948674	74949170	106	1.0	0.21370967741935484	0.21370967741935484	True	human	mouse
human_ocr_0011805	chr1	74949797	74949969	mouse_ocr_0003547	chr1	74949346	74950166	172	1.0	0.2097560975609756	0.2097560975609756	True	human	mouse
human_ocr_0070396	chr1	74964617	74964692	mouse_ocr_0027774	chr1	74964501	74964815	75	1.0	0.23885350318471338	0.23885350318471338	True	human	mouse
human_ocr_0070396	chr1	74964692	74964791	mouse_ocr_0027774	chr1	74964501	74964815	99	1.0	0.31528662420382164	0.31528662420382164	True	human	mouse
human_ocr_0051788	chr1	75040419	75040757	mouse_ocr_0020469	chr1	75040419	75040862	338	1.0	0.7629796839729119	0.7629796839729119	True	human	mouse
human_ocr_0008553	chr1	75142916	75143168	mouse_ocr_0015097	chr1	75142322	75143359	252	1.0	0.24300867888138863	0.24300867888138863	True	human	mouse
human_ocr_0005662	chr1	75179552	75180157	mouse_ocr_0018032	chr1	75179397	75180647	605	1.0	0.484	0.484	True	human	mouse
human_ocr_0018442	chr1	75234801	75234871	mouse_ocr_0009070	chr1	75234683	75234977	70	1.0	0.23809523809523808	0.23809523809523808	True	human	mouse
human_ocr_0008657	chr1	75251742	75251922	mouse_ocr_0014635	chr1	75251506	75252055	180	1.0	0.32786885245901637	0.32786885245901637	True	human	mouse
human_ocr_0074434	chr1	75422702	75423019	mouse_ocr_0046583	chr1	75422901	75423328	118	0.3722397476340694	0.27634660421545665	0.27634660421545665	True	human	mouse
human_ocr_0074434	chr1	75423019	75423540	mouse_ocr_0046583	chr1	75422901	75423328	309	0.5930902111324377	0.7236533957845434	0.5930902111324377	True	human	mouse
human_ocr_0017329	chr1	75477243	75477792	mouse_ocr_0022189	chr1	75477233	75477745	502	0.9143897996357013	0.98046875	0.9143897996357013	True	human	mouse
human_ocr_0002105	chr1	75478764	75479146	mouse_ocr_0009951	chr1	75478619	75479968	382	1.0	0.28317272053372866	0.28317272053372866	True	human	mouse
human_ocr_0015523	chr1	75505308	75506237	mouse_ocr_0039744	chr1	75505102	75506838	929	1.0	0.5351382488479263	0.5351382488479263	True	human	mouse
human_ocr_0070395	chr1	78140549	78140758	mouse_ocr_0016635	chr1	78140641	78141097	117	0.5598086124401914	0.2565789473684211	0.2565789473684211	True	human	mouse
human_ocr_0052186	chr1	78537726	78537910	mouse_ocr_0015860	chr1	78537421	78538083	184	1.0	0.27794561933534745	0.27794561933534745	True	human	mouse
human_ocr_0046277	chr1	78656765	78656854	mouse_ocr_0005484	chr1	78656450	78656857	89	1.0	0.21867321867321868	0.21867321867321868	True	human	mouse
human_ocr_0001713	chr1	79776125	79776320	mouse_ocr_0000611	chr1	79775879	79776514	195	1.0	0.30708661417322836	0.30708661417322836	True	human	mouse
human_ocr_0018885	chr1	86587049	86587265	mouse_ocr_0033699	chr1	86586987	86587438	216	1.0	0.4789356984478936	0.4789356984478936	True	human	mouse
human_ocr_0012118	chr1	86669633	86670012	mouse_ocr_0006662	chr1	86669328	86670183	379	1.0	0.4432748538011696	0.4432748538011696	True	human	mouse
human_ocr_0058392	chr1	87397299	87397502	mouse_ocr_0026270	chr1	87397231	87397550	203	1.0	0.6363636363636364	0.6363636363636364	True	human	mouse
human_ocr_0028745	chr1	89580362	89580492	mouse_ocr_0033140	chr1	89579972	89580544	130	1.0	0.22727272727272727	0.22727272727272727	True	human	mouse
human_ocr_0030440	chr1	90927279	90927404	mouse_ocr_0024822	chr1	90927277	90927788	125	1.0	0.2446183953033268	0.2446183953033268	True	human	mouse
human_ocr_0045828	chr1	91181422	91181582	mouse_ocr_0008481	chr1	91181268	91181672	160	1.0	0.39603960396039606	0.39603960396039606	True	human	mouse
human_ocr_0016202	chr1	91456525	91456731	mouse_ocr_0022427	chr1	91456374	91457057	206	1.0	0.30161054172767204	0.30161054172767204	True	human	mouse
human_ocr_0080238	chr1	92130561	92130725	mouse_ocr_0021861	chr1	92130405	92130962	164	1.0	0.29443447037701975	0.29443447037701975	True	human	mouse
human_ocr_0005706	chr1	92907058	92907428	mouse_ocr_0003728	chr1	92906787	92907754	370	1.0	0.3826266804550155	0.3826266804550155	True	human	mouse
human_ocr_0004342	chr1	95313733	95314266	mouse_ocr_0011707	chr1	95313398	95314519	533	1.0	0.47546833184656556	0.47546833184656556	True	human	mouse
human_ocr_0034703	chr1	95667477	95667628	mouse_ocr_0017262	chr1	95667408	95667991	151	1.0	0.25900514579759865	0.25900514579759865	True	human	mouse
human_ocr_0033380	chr1	97688949	97689013	mouse_ocr_0022099	chr1	97688819	97689088	64	1.0	0.2379182156133829	0.2379182156133829	True	human	mouse
human_ocr_0013684	chr1	119328993	119329286	mouse_ocr_0002446	chr1	119328725	119329533	293	1.0	0.3626237623762376	0.3626237623762376	True	human	mouse
human_ocr_0061726	chr1	127500172	127500343	mouse_ocr_0045546	chr1	127500101	127500578	171	1.0	0.3584905660377358	0.3584905660377358	True	human	mouse
human_ocr_0008887	chr1	131244677	131245021	mouse_ocr_0009597	chr1	131244580	131246199	344	1.0	0.2124768375540457	0.2124768375540457	True	human	mouse
human_ocr_0021425	chr1	131981284	131981735	mouse_ocr_0023311	chr1	131981296	131982074	439	0.9733924611973392	0.5642673521850899	0.5642673521850899	True	human	mouse
human_ocr_0088963	chr1	132067654	132067898	mouse_ocr_0010874	chr1	132067349	132068238	244	1.0	0.2744656917885264	0.2744656917885264	True	human	mouse
human_ocr_0017261	chr1	132319362	132319569	mouse_ocr_0012903	chr1	132319199	132319845	207	1.0	0.3204334365325077	0.3204334365325077	True	human	mouse
human_ocr_0047376	chr1	133382156	133382241	mouse_ocr_0039422	chr1	133382011	133382357	85	1.0	0.24566473988439305	0.24566473988439305	True	human	mouse
human_ocr_0046627	chr1	134067251	134067326	mouse_ocr_0020752	chr1	134067129	134067501	75	1.0	0.20161290322580644	0.20161290322580644	True	human	mouse
human_ocr_0024759	chr1	134071762	134071926	mouse_ocr_0038986	chr1	134071443	134072126	164	1.0	0.24011713030746706	0.24011713030746706	True	human	mouse
human_ocr_0042547	chr1	134560321	134560553	mouse_ocr_0024001	chr1	134560005	134560948	232	1.0	0.24602332979851538	0.24602332979851538	True	human	mouse
human_ocr_0000261	chr1	134955487	134955835	mouse_ocr_0000864	chr1	134955119	134956219	348	1.0	0.31636363636363635	0.31636363636363635	True	human	mouse
human_ocr_0005075	chr1	135430233	135430531	mouse_ocr_0012032	chr1	135429985	135430895	298	1.0	0.3274725274725275	0.3274725274725275	True	human	mouse
human_ocr_0067788	chr1	135741062	135741131	mouse_ocr_0030231	chr1	135740920	135741264	69	1.0	0.2005813953488372	0.2005813953488372	True	human	mouse
human_ocr_0067788	chr1	135741176	135741283	mouse_ocr_0030231	chr1	135740920	135741264	88	0.822429906542056	0.2558139534883721	0.2558139534883721	True	human	mouse
human_ocr_0066489	chr1	136135151	136135237	mouse_ocr_0039037	chr1	136135014	136135404	86	1.0	0.2205128205128205	0.2205128205128205	True	human	mouse
human_ocr_0084520	chr1	136259773	136260186	mouse_ocr_0028682	chr1	136259713	136260762	413	1.0	0.3937082936129647	0.3937082936129647	True	human	mouse
human_ocr_0084520	chr1	136260328	136260880	mouse_ocr_0028682	chr1	136259713	136260762	434	0.7862318840579711	0.41372735938989513	0.41372735938989513	True	human	mouse
human_ocr_0019201	chr1	136960478	136960703	mouse_ocr_0015815	chr1	136960404	136961007	225	1.0	0.373134328358209	0.373134328358209	True	human	mouse
human_ocr_0017161	chr1	137898376	137898608	mouse_ocr_0015056	chr1	137898351	137898820	232	1.0	0.4946695095948827	0.4946695095948827	True	human	mouse
human_ocr_0038460	chr1	137900374	137900596	mouse_ocr_0043686	chr1	137900183	137901212	222	1.0	0.21574344023323616	0.21574344023323616	True	human	mouse
human_ocr_0032487	chr1	151103243	151103378	mouse_ocr_0003015	chr1	151102962	151103511	135	1.0	0.2459016393442623	0.2459016393442623	True	human	mouse
human_ocr_0030370	chr1	153988381	153988584	mouse_ocr_0011642	chr1	153988312	153988780	203	1.0	0.4337606837606838	0.4337606837606838	True	human	mouse
human_ocr_0001287	chr1	156035846	156036252	mouse_ocr_0008417	chr1	156035415	156036777	406	1.0	0.29809104258443464	0.29809104258443464	True	human	mouse
human_ocr_0012728	chr1	156040897	156040973	mouse_ocr_0004983	chr1	156040628	156041003	76	1.0	0.20266666666666666	0.20266666666666666	True	human	mouse
human_ocr_0050940	chr1	156676345	156676416	mouse_ocr_0039770	chr1	156676259	156676513	71	1.0	0.2795275590551181	0.2795275590551181	True	human	mouse
human_ocr_0049356	chr1	161896300	161896411	mouse_ocr_0045470	chr1	161896131	161896509	111	1.0	0.29365079365079366	0.29365079365079366	True	human	mouse
human_ocr_0084349	chr1	162313793	162313856	mouse_ocr_0044243	chr1	162313678	162313914	63	1.0	0.2669491525423729	0.2669491525423729	True	human	mouse
human_ocr_0001849	chr1	165763780	165764146	mouse_ocr_0003771	chr1	165763372	165764470	366	1.0	0.3333333333333333	0.3333333333333333	True	human	mouse
human_ocr_0076690	chr1	167212460	167212526	mouse_ocr_0046921	chr1	167212347	167212621	66	1.0	0.24087591240875914	0.24087591240875914	True	human	mouse
human_ocr_0052400	chr1	167669878	167669949	mouse_ocr_0046156	chr1	167669850	167670090	71	1.0	0.29583333333333334	0.29583333333333334	True	human	mouse
human_ocr_0026819	chr1	168288165	168288573	mouse_ocr_0005955	chr1	168287819	168288554	389	0.9534313725490197	0.5292517006802722	0.5292517006802722	True	human	mouse
human_ocr_0004204	chr1	170214949	170215240	mouse_ocr_0017212	chr1	170214730	170215542	291	1.0	0.3583743842364532	0.3583743842364532	True	human	mouse
human_ocr_0002985	chr1	170885045	170885223	mouse_ocr_0004148	chr1	170884937	170885660	178	1.0	0.24619640387275243	0.24619640387275243	True	human	mouse
human_ocr_0002985	chr1	170885223	170885437	mouse_ocr_0004148	chr1	170884937	170885660	214	1.0	0.2959889349930844	0.2959889349930844	True	human	mouse
human_ocr_0011246	chr1	171222199	171222403	mouse_ocr_0000751	chr1	171222166	171222939	204	1.0	0.26390685640362227	0.26390685640362227	True	human	mouse
human_ocr_0011205	chr1	171294500	171294806	mouse_ocr_0025101	chr1	171294546	171295217	260	0.8496732026143791	0.38748137108792846	0.38748137108792846	True	human	mouse
human_ocr_0057326	chr1	171390287	171390385	mouse_ocr_0035880	chr1	171390022	171390504	98	1.0	0.2033195020746888	0.2033195020746888	True	human	mouse
human_ocr_0042035	chr1	172310187	172310317	mouse_ocr_0015706	chr1	172310175	172310564	130	1.0	0.3341902313624679	0.3341902313624679	True	human	mouse
human_ocr_0013884	chr1	172325913	172326563	mouse_ocr_0009406	chr1	172326084	172326622	479	0.7369230769230769	0.8903345724907064	0.7369230769230769	True	human	mouse
human_ocr_0048569	chr1	172333660	172333743	mouse_ocr_0044834	chr1	172333620	172333925	83	1.0	0.2721311475409836	0.2721311475409836	True	human	mouse
human_ocr_0048569	chr1	172333799	172333980	mouse_ocr_0044834	chr1	172333620	172333925	126	0.6961325966850829	0.4131147540983607	0.4131147540983607	True	human	mouse
human_ocr_0029372	chr1	172364943	172365128	mouse_ocr_0018729	chr1	172364576	172365151	185	1.0	0.3217391304347826	0.3217391304347826	True	human	mouse
human_ocr_0004154	chr1	172376680	172377591	mouse_ocr_0008725	chr1	172376065	172377416	736	0.8079034028540066	0.5447816432272391	0.5447816432272391	True	human	mouse
human_ocr_0086521	chr1	172510209	172510328	mouse_ocr_0042938	chr1	172510037	172510485	119	1.0	0.265625	0.265625	True	human	mouse
human_ocr_0000210	chr1	172632604	172632898	mouse_ocr_0000167	chr1	172632364	172633380	294	1.0	0.28937007874015747	0.28937007874015747	True	human	mouse
human_ocr_0053773	chr1	174502829	174503095	mouse_ocr_0027432	chr1	174502847	174503780	248	0.9323308270676691	0.2658092175777063	0.2658092175777063	True	human	mouse
human_ocr_0053773	chr1	174503095	174503543	mouse_ocr_0027432	chr1	174502847	174503780	448	1.0	0.48017148981779206	0.48017148981779206	True	human	mouse
human_ocr_0003156	chr1	175692154	175692487	mouse_ocr_0000023	chr1	175692061	175693322	333	1.0	0.2640761300555115	0.2640761300555115	True	human	mouse
human_ocr_0000046	chr1	177796204	177796514	mouse_ocr_0000363	chr1	177795887	177796954	310	1.0	0.29053420805998126	0.29053420805998126	True	human	mouse
human_ocr_0019099	chr1	177796233	177796521	mouse_ocr_0000363	chr1	177795887	177796954	288	1.0	0.26991565135895035	0.26991565135895035	True	human	mouse
human_ocr_0082611	chr1	180332117	180332298	mouse_ocr_0037658	chr1	180332107	180332656	181	1.0	0.3296903460837887	0.3296903460837887	True	human	mouse
human_ocr_0082611	chr1	180332378	180332570	mouse_ocr_0037658	chr1	180332107	180332656	192	1.0	0.34972677595628415	0.34972677595628415	True	human	mouse
human_ocr_0044673	chr1	180550970	180551077	mouse_ocr_0045502	chr1	180550770	180551152	107	1.0	0.2801047120418848	0.2801047120418848	True	human	mouse
human_ocr_0001640	chr1	180851094	180851335	mouse_ocr_0002849	chr1	180850320	180851451	241	1.0	0.21308576480990274	0.21308576480990274	True	human	mouse
human_ocr_0004810	chr1	182341318	182341607	mouse_ocr_0020371	chr1	182341070	182341940	289	1.0	0.332183908045977	0.332183908045977	True	human	mouse
human_ocr_0007459	chr1	182991241	182991380	mouse_ocr_0015069	chr1	182990758	182991448	139	1.0	0.20144927536231885	0.20144927536231885	True	human	mouse
human_ocr_0007824	chr1	185329006	185329290	mouse_ocr_0011703	chr1	185328669	185329703	284	1.0	0.2746615087040619	0.2746615087040619	True	human	mouse
human_ocr_0050335	chr1	186721981	186722069	mouse_ocr_0037108	chr1	186721854	186722285	88	1.0	0.20417633410672853	0.20417633410672853	True	human	mouse
human_ocr_0008590	chr1	187215460	187215659	mouse_ocr_0010725	chr1	187215122	187216014	199	1.0	0.22309417040358745	0.22309417040358745	True	human	mouse
human_ocr_0028906	chr1	191185114	191185192	mouse_ocr_0040639	chr1	191184969	191185265	78	1.0	0.2635135135135135	0.2635135135135135	True	human	mouse
human_ocr_0001479	chr1	191906995	191907457	mouse_ocr_0014416	chr1	191905922	191907852	462	1.0	0.23937823834196892	0.23937823834196892	True	human	mouse
human_ocr_0068980	chr1	192070385	192070639	mouse_ocr_0030500	chr1	192069990	192070680	254	1.0	0.3681159420289855	0.3681159420289855	True	human	mouse
human_ocr_0025942	chr1	192727262	192727485	mouse_ocr_0025359	chr1	192727038	192727479	217	0.9730941704035875	0.49206349206349204	0.49206349206349204	True	human	mouse
human_ocr_0008925	chr1	193272454	193272793	mouse_ocr_0019048	chr1	193272432	193273762	339	1.0	0.2548872180451128	0.2548872180451128	True	human	mouse
human_ocr_0065820	chr10	7076292	7076364	mouse_ocr_0027577	chr10	7076207	7076498	72	1.0	0.24742268041237114	0.24742268041237114	True	human	mouse
human_ocr_0065820	chr10	7076397	7076472	mouse_ocr_0027577	chr10	7076207	7076498	75	1.0	0.25773195876288657	0.25773195876288657	True	human	mouse
human_ocr_0048888	chr10	7140313	7140450	mouse_ocr_0015520	chr10	7140219	7140780	137	1.0	0.24420677361853832	0.24420677361853832	True	human	mouse
human_ocr_0048888	chr10	7140450	7140621	mouse_ocr_0015520	chr10	7140219	7140780	171	1.0	0.3048128342245989	0.3048128342245989	True	human	mouse
human_ocr_0008911	chr10	7333623	7333707	mouse_ocr_0037098	chr10	7333422	7333698	75	0.8928571428571429	0.2717391304347826	0.2717391304347826	True	human	mouse
human_ocr_0002297	chr10	7663043	7663364	mouse_ocr_0011116	chr10	7662484	7663871	321	1.0	0.23143475126171592	0.23143475126171592	True	human	mouse
human_ocr_0014667	chr10	7667549	7667686	mouse_ocr_0028043	chr10	7667341	7667851	137	1.0	0.26862745098039215	0.26862745098039215	True	human	mouse
human_ocr_0049552	chr10	12612634	12612757	mouse_ocr_0022608	chr10	12612541	12612798	123	1.0	0.4785992217898833	0.4785992217898833	True	human	mouse
human_ocr_0030288	chr10	12684368	12684630	mouse_ocr_0021754	chr10	12684052	12684657	262	1.0	0.43305785123966944	0.43305785123966944	True	human	mouse
human_ocr_0046238	chr10	12690724	12690924	mouse_ocr_0017982	chr10	12690662	12690972	200	1.0	0.6451612903225806	0.6451612903225806	True	human	mouse
human_ocr_0035951	chr10	12826764	12826925	mouse_ocr_0007254	chr10	12826699	12827347	161	1.0	0.24845679012345678	0.24845679012345678	True	human	mouse
human_ocr_0009085	chr10	14017808	14018004	mouse_ocr_0044501	chr10	14017795	14018393	196	1.0	0.3277591973244147	0.3277591973244147	True	human	mouse
human_ocr_0079025	chr10	14034933	14035063	mouse_ocr_0047098	chr10	14034759	14035186	130	1.0	0.3044496487119438	0.3044496487119438	True	human	mouse
human_ocr_0075862	chr10	17253055	17253219	mouse_ocr_0033861	chr10	17253059	17253369	160	0.975609756097561	0.5161290322580645	0.5161290322580645	True	human	mouse
human_ocr_0075862	chr10	17253221	17253307	mouse_ocr_0033861	chr10	17253059	17253369	86	1.0	0.27741935483870966	0.27741935483870966	True	human	mouse
human_ocr_0015958	chr10	17530946	17531069	mouse_ocr_0020550	chr10	17530969	17531314	100	0.8130081300813008	0.2898550724637681	0.2898550724637681	True	human	mouse
human_ocr_0015958	chr10	17531069	17531263	mouse_ocr_0020550	chr10	17530969	17531314	194	1.0	0.5623188405797102	0.5623188405797102	True	human	mouse
human_ocr_0049035	chr10	19894214	19894313	mouse_ocr_0037586	chr10	19894064	19894402	99	1.0	0.29289940828402367	0.29289940828402367	True	human	mouse
human_ocr_0040087	chr10	20046363	20046519	mouse_ocr_0028618	chr10	20046117	20046705	156	1.0	0.2653061224489796	0.2653061224489796	True	human	mouse
human_ocr_0010608	chr10	20725047	20725253	mouse_ocr_0018731	chr10	20724865	20725325	206	1.0	0.44782608695652176	0.44782608695652176	True	human	mouse
human_ocr_0088760	chr10	21460157	21460391	mouse_ocr_0035876	chr10	21460021	21460315	158	0.6752136752136753	0.5374149659863946	0.5374149659863946	True	human	mouse
human_ocr_0073612	chr10	21993156	21993237	mouse_ocr_0015041	chr10	21993059	21993356	81	1.0	0.2727272727272727	0.2727272727272727	True	human	mouse
human_ocr_0029383	chr10	26849865	26850120	mouse_ocr_0024064	chr10	26849728	26850550	255	1.0	0.3102189781021898	0.3102189781021898	True	human	mouse
human_ocr_0009791	chr10	37315136	37315317	mouse_ocr_0020291	chr10	37314872	37315404	181	1.0	0.34022556390977443	0.34022556390977443	True	human	mouse
human_ocr_0026345	chr10	41598402	41598547	mouse_ocr_0040550	chr10	41598233	41598665	145	1.0	0.33564814814814814	0.33564814814814814	True	human	mouse
human_ocr_0038901	chr10	42092566	42092797	mouse_ocr_0032383	chr10	42092503	42092862	231	1.0	0.6434540389972145	0.6434540389972145	True	human	mouse
human_ocr_0028345	chr10	42251393	42251537	mouse_ocr_0003146	chr10	42251161	42251649	144	1.0	0.29508196721311475	0.29508196721311475	True	human	mouse
human_ocr_0014047	chr10	44003784	44004195	mouse_ocr_0021930	chr10	44003433	44004227	411	1.0	0.517632241813602	0.517632241813602	True	human	mouse
